Entry	Gene names
Q9UN67	PCDHB10 UNQ1906/PRO4352
P40426	PBX3
Q9Y5H9	PCDHA2
Q9H158	PCDHAC1
Q9Y5I4	PCDHAC2
Q9Y5H0	PCDHGA3
Q9Y5G7	PCDHGA6
Q9Y5G6	PCDHGA7
Q9Y5G5	PCDHGA8 KIAA0327
O60330	PCDHGA12 CDH21 FIB3 KIAA0588 UNQ371/PRO707
Q9Y5G3	PCDHGB1
Q8NF37	LPCAT1 AYTL2 PFAAP3
Q9Y5F8	PCDHGB7
Q9UN70	PCDHGC3 PCDH2
O95206	PCDH8
Q9HC56	PCDH9
P35227	PCGF2 MEL18 RNF110 ZNF144
Q9H4Z3	PCIF1 C20orf67
Q8WW12	PCNP
P48539	PCP4 PEP19
Q9UHG3	PCYOX1 KIAA0908 PCL1 UNQ597/PRO1183
Q9BQI7	PSD2 EFA6C
Q8NBM8	PCYOX1L PSEC0105
Q9NYI0	PSD3 EFA6D EFA6R HCA67 KIAA0942
Q9Y5Y4	PTGDR2 CRTH2 DL1R GPR44
Q9BRP1	PDCD2L
Q9Y233	PDE10A
Q8WUM4	PDCD6IP AIP1 ALIX KIAA1375
Q6L8Q7	PDE12
O43924	PDE6D PDED
Q13946	PDE7A
Q15084	PDIA6 ERP5 P5 TXNDC7
P07237	P4HB ERBA2L PDI PDIA1 PO4DB
P30101	PDIA3 ERP57 ERP60 GRP58
Q15120	PDK3 PDHK3
O00151	PDLIM1 CLIM1 CLP36
Q96JY6	PDLIM2 PP6345
Q8NCN5	PDPR KIAA1990
Q9NR12	PDLIM7 ENIGMA
Q9P0J1	PDP1 PDP PPM2C
Q9BRX5	GINS3 PSF3
Q9UQ72	PSG11 PSG13 PSG14
Q00887	PSG9 PSG11
Q6P996	PDXDC1 KIAA0251
Q16401	PSMD5 KIAA0072
Q86UW1	SLC51A OSTA
Q86UW2	SLC51B OSTB
P04637	TP53 P53
P28070	PSMB4 PROS26
P0C869	PLA2G4B
P39877	PLA2G5
P14555	PLA2G2A PLA2B PLA2L RASF-A
Q9NZK7	PLA2G2E
O15496	PLA2G10
Q9NZ20	PLA2G3
Q13093	PLA2G7 PAFAH
P0DN26	PPIAL4F
Q86YC2	PALB2 FANCN
Q8WX93	PALLD KIAA0992 CGI-151
P05121	SERPINE1 PAI1 PLANH1
Q9NP74	PALMD C1orf11 PALML
Q9H074	PAIP1
Q9Y536	PPIAL4A COAS2 PPIAL4B
P40424	PBX1 PRL
P40425	PBX2 G17
Q15366	PCBP2
P57721	PCBP3 PCBP3-OT1 PCBP3OT
Q9Y5E7	PCDHB2
O14917	PCDH17 PCDH68 PCH68
Q9Y5E1	PCDHB9 PCDH3H
Q9Y5F2	PCDHB11
P16499	PDE6A PDEA
O95263	PDE8B PIG22
Q15116	PDCD1 PD1
Q9BY77	POLDIP3 KIAA1649 PDIP46
Q14691	GINS1 KIAA0186 PSF1
P11464	PSG1 B1G1 PSBG1 PSGGA
P11465	PSG2 PSBG2
Q00888	PSG4 CGM4 PSG9
Q15238	PSG5
Q00889	PSG6 CGM3 PSG10 PSG12 PSGGB
Q13046	PSG7
Q9UQ74	PSG8
Q8TAA3	PSMA8 PSMA7L
Q15008	PSMD6 KIAA0107 PFAAP4
P48556	PSMD8
Q8WXF1	PSPC1 PSP1
P11686	SFTPC SFTP2
O15018	PDZD2 AIPC KIAA0300 PDZK3
Q6ZS72	PEAK3 C19orf35
P30086	PEBP1 PBP PEBP
Q96S96	PEBP4 CORK1 UNQ1933/PRO4408
Q13951	CBFB
Q9BY49	PECR SDR29C1 PRO1004
Q9H1Q7	PCED1A C20orf81 FAM113A
Q96HM7	PCED1B FAM113B
Q9UBV8	PEF1 ABP32 UNQ1845/PRO3573
P34995	PTGER1
P43116	PTGER2
P43115	PTGER3
Q8N2H9	PELI3
P0DJD8	PGA3
P0DJD7	PGA4
Q6ISU1	PTCRA
O15534	PER1 KIAA0482 PER RIGUI
P22079	LPO SAPX
Q5SV97	PERM1 C1orf170
P05164	MPO
O15055	PER2 KIAA0347
P41222	PTGDS PDS
P56645	PER3 GIG13
Q8N4Q0	ZADH2 PTGR3
P12272	PTHLH PTHRP
O00628	PEX7 PTS2R
Q9NQP4	PFDN4 PFD4
O76083	PDE9A
Q8N807	PDILT
Q53EL6	PDCD4 H731
Q8N165	PDIK1L CLIK1L
Q9GZP0	PDGFD IEGF SCDGFB MSTP036 UNQ1899/PRO4345
Q8N8D1	PDCD7
O75475	PSIP1 DFS70 LEDGF PSIP2
Q99460	PSMD1
O43242	PSMD3
P55036	PSMD4 MCB1
Q13113	PDZK1IP1 MAP17
A8MUH7	PDZK1P1 PDZK1P2
Q76G19	PDZD4 KIAA1444 PDZK4 PDZRN4L
Q9H5P4	PDZD7 PDZK7
Q5VY43	PEAR1 MEGF12
Q9GZU2	PEG3 KIAA0287 ZSCAN24
P35408	PTGER4 PTGER2
O60437	PPL KIAA0568
P06454	PTMA TMSA
Q06124	PTPN11 PTP2C SHPTP2
Q99952	PTPN18 BDP1
P17706	PTPN2 PTPT
P54829	PTPN5
P21246	PTN HBNF1 NEGF1
Q86YD1	PTOV1 ACID2 PP642 UNQ6127/PRO20092
Q9UHJ9	PGAP2 FRAG1
Q96FM1	PGAP3 CAB2 PERLD1 UNQ546/PRO1100
Q96JS3	PGBD1 hucep-4
P98160	HSPG2
